treat_pay,treat_soc,treat_arg,treat_info,treat_min,nudge,control,intention1,intention2_1,intention3,vaccinated,clicked,gap1,already_vacced,female,age,age_band,region,covid1_1,covid1_2,covid2_1,covid2_2,covid2_3,covid2_4,civilstatus,civilstatus_d1,civilstatus_d2,civilstatus_d3,civilstatus_d4,civilstatus_d5,education,education_d1,education_d2,education_d3,education_d4,education_d5,education_d6,occupation,occupation_d1,occupation_d2,occupation_d3,occupation_d4,occupation_d5,mother,mother_d1,mother_d2,mother_d3,mother_d4,mother_d5,mother_d6,mother_d7,mother_d8,father,father_d1,father_d2,father_d3,father_d4,father_d5,father_d6,father_d7,father_d8,income,income_d1,income_d2,income_d3,income_d4,income_d5,income_d6,income_d7,income_d8,income_d9,income_d10,income_d11,income_d12,haschildren,dist_survey_rollout,dist_datamerge,largeregions,vacc_dist_cens,vaccinated_10d,vaccinated_20d,vaccinated_30d,vaccinated_40d,vaccinated_50d,vaccinated_rollout,vaccinated_incentives,week_num,falk1_1,falk1_2,falk1_3,falk2_1,falk2_2,falk2_3,falk2_4,belief_prot_death,belief_cause_death,treatment,single,university,foreign,unemployed
0,0,0,0,0,0,1,100,100,1,100,0,0,0,0,49,50,20,0,0,5,1,1,1,4,0,0,0,1,0,6,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37500,0,0,0,0,0,0,0,1,0,0,0,0,1,-10,76,Östra Mellansverige,7,100,100,100,100,100,100,100,3193,11,4,10,11,9,7,4,NA,NA,5,0,1,0,0
0,0,0,0,0,0,1,100,100,1,0,0,100,0,0,44,45,19,0,0,5,1,3,1,3,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,0,-25,76,Västsverige,30,0,0,0,100,100,100,100,3193,11,11,11,11,4,1,11,NA,NA,5,0,0,0,0
0,0,0,0,0,0,1,100,87,2,100,0,0,0,0,40,45,15,0,0,4,1,4,4,3,0,0,1,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,-14,76,Norra Mellansverige,30,0,0,100,100,100,100,100,3193,9,5,11,10,9,9,10,NA,NA,5,0,1,0,0
0,0,0,0,1,0,0,100,100,5,100,0,0,0,0,47,50,18,0,0,5,1,1,3,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,-11,76,Östra Mellansverige,19,0,100,100,100,100,100,100,3193,11,6,11,11,9,8,9,NA,NA,4,0,1,0,0
0,0,1,0,0,1,0,100,100,3,100,0,0,0,0,40,45,18,0,0,5,1,1,1,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22500,0,0,0,0,1,0,0,0,0,0,0,0,1,-18,76,Östra Mellansverige,20,0,100,100,100,100,100,100,3193,8,6,7,8,6,6,8,NA,NA,2,0,1,0,0
0,0,1,0,0,1,0,0,50,8,0,0,NA,0,0,40,45,12,0,0,2,3,5,4,1,1,0,0,0,0,5,0,0,0,0,1,0,2,0,1,0,0,0,11,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,1,0,60000,0,0,0,0,0,0,0,0,0,0,0,1,0,-6,76,Stockholm,30,0,0,0,100,100,0,0,3193,2,8,9,10,7,8,8,NA,NA,2,1,1,1,1
0,0,0,0,0,0,1,100,100,1,100,0,0,0,0,39,40,21,0,0,4,1,2,1,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,1,-27,76,Östra Mellansverige,24,0,0,100,100,100,100,100,3193,9,7,6,9,9,1,8,NA,NA,5,0,1,0,0
0,0,0,1,0,1,0,100,100,1,100,0,0,0,1,46,50,20,0,0,5,1,1,3,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37500,0,0,0,0,0,0,0,1,0,0,0,0,1,-10,76,Östra Mellansverige,12,0,100,100,100,100,100,100,3193,11,5,6,11,7,2,9,9,1,3,0,1,0,0
0,0,0,0,0,0,1,100,100,1,100,0,0,0,1,48,50,16,0,0,5,4,4,1,1,1,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,6,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,0,-14,76,Övre norrland,26,0,0,100,100,100,100,100,3193,7,4,6,10,7,9,8,NA,NA,5,1,1,0,0
1,0,0,0,0,0,0,100,50,4,100,0,0,0,1,43,45,9,0,1,4,3,5,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12500,0,0,1,0,0,0,0,0,0,0,0,0,1,-24,76,Småland med öarna,27,0,0,100,100,100,100,100,3193,11,9,11,11,9,10,9,NA,NA,0,1,0,0,0
