Job.Titles,Department,Annual.Salary
ASST CITY TREASURER,TREASURER,124056
POLICE OFFICER,POLICE,90024
FIREFIGHTER/PARAMEDIC,FIRE,91272
TRAINING & DEVELOPMENT ANALYST,HUMAN RESOURCES,84324
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
BUILDING/CONSTRUCTION INSPECTOR,HEALTH,116736
POLICE COMMUNICATIONS OPERATOR II,OEMC,73992
FIREFIGHTER-EMT,FIRE,99324
FIREFIGHTER,FIRE,93666
SERGEANT,POLICE,104628
FIREFIGHTER,FIRE,90024
LIEUTENANT-EMT,FIRE,117996
LIEUTENANT,FIRE,114846
SERGEANT,POLICE,107988
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,87006
BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,72660
HR RECORDS SPECIALIST,HUMAN RESOURCES,54984
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,48078
LIEUTENANT-EMT,FIRE,117996
POLICE OFFICER,POLICE,87006
POLICE COMMUNICATIONS OPERATOR II,OEMC,81156
FIRE ENGINEER-EMT,FIRE,110214
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
AVIATION SECURITY OFFICER,AVIATION,52776
FIREFIGHTER,FIRE,97386
AVIATION SECURITY OFFICER,AVIATION,55260
CHIEF PROGRAMMER/ANALYST,DoIT,124428
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,84054
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE COMMUNICATIONS OPERATOR II,OEMC,60648
POLICE OFFICER,POLICE,48078
SERGEANT,POLICE,101442
POLICE OFFICER,POLICE,80016
LIBRARIAN IV,PUBLIC LIBRARY,100776
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,93354
FIREFIGHTER-EMT (RECRUIT),FIRE,72510
FIREFIGHTER-EMT,FIRE,89148
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,76266
FIREFIGHTER,FIRE,90024
PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,41640
LIEUTENANT-EMT,FIRE,121818
POLICE OFFICER,POLICE,48078
SENIOR DATA ENTRY OPERATOR,HEALTH,63876
COMMISSIONER OF WATER MGMT,WATER MGMNT,169512
POLICE OFFICER,POLICE,87006
SUPERINTENDENT OF PAVEMENT REPAIRS,TRANSPORTN,108984
POLICE OFFICER,POLICE,90024
SENIOR AIR MASK TECHNICIAN,FIRE,92556
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,91338
POLICE OFFICER,POLICE,87006
POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),POLICE,100980
SERGEANT,POLICE,104628
FIREFIGHTER-EMT,FIRE,95484
POLICE OFFICER,POLICE,93354
PUBLIC HEALTH NURSE II,HEALTH,102216
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
PARAMEDIC I/C,FIRE,91080
FIRE ENGINEER,FIRE,97440
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,104628
FIREFIGHTER-EMT,FIRE,89148
PARAMEDIC FIELD CHIEF,FIRE,133188
LIBRARIAN IV,PUBLIC LIBRARY,100776
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
CAPTAIN-EMT,FIRE,136794
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,84054
LIEUTENANT,POLICE,127692
SERGEANT,POLICE,107988
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,104628
SERGEANT,POLICE,107988
POLICE OFFICER,POLICE,87006
FIREFIGHTER-EMT,FIRE,95484
FIRST DEPUTY DIR,FINANCE,145008
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,69048
POLICE OFFICER,POLICE,90024
FIREFIGHTER-EMT,FIRE,103272
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,76266
SUPERVISING TRAFFIC CONTROL AIDE,OEMC,48072
POLICE OFFICER,POLICE,93354
CAPS COORDINATOR,POLICE,102672
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,109656
FIREFIGHTER-EMT,FIRE,95484
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
FIREFIGHTER,FIRE,97386
POLICE OFFICER,POLICE,87006
DIR OF RESEARCH AND PLANNING,POLICE,102672
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,101442
AIRPORT OPERATIONS SUPVSR II,AVIATION,101544
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
FIRST DEPUTY CHIEF OF STAFF,MAYOR'S OFFICE,180000
FIRE ENGINEER-EMT,FIRE,107106
PARALEGAL II,LAW,92592
LIBRARIAN III,PUBLIC LIBRARY,92388
PARKING ENFORCEMENT AIDE,FINANCE,64392
POLICE OFFICER,POLICE,84054
FIREFIGHTER-EMT,FIRE,92274
PROJECT MANAGER,OEMC,95760
POLICE OFFICER,POLICE,93354
FIREFIGHTER,FIRE,87006
SERGEANT,POLICE,107988
ASST CORPORATION COUNSEL II,LAW,62940
POLICE OFFICER,POLICE,90024
LIEUTENANT-EMT,FIRE,117996
PERSONAL COMPUTER OPERATOR I,POLICE,53076
PERSONAL COMPUTER OPERATOR II,CITY CLERK,53076
POLICE OFFICER(ASGND AS LATENT PRINT EX),POLICE,100980
FIREFIGHTER-EMT,FIRE,92274
FIREFIGHTER-EMT,FIRE,99324
ELDER PROTECTIVE INVESTIGATOR I,FAMILY & SUPPORT,76548
SERGEANT,POLICE,107988
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,72510
SERGEANT,POLICE,107988
SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES,OEMC,85008
LIEUTENANT-PARAMEDIC,FIRE,124728
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,90024
HEAD LIBRARY CLERK,PUBLIC LIBRARY,70092
POLICE OFFICER,POLICE,90024
PARAMEDIC I/C,FIRE,103932
POLICE OFFICER,POLICE,93354
FIREFIGHTER-EMT,FIRE,92274
POLICE OFFICER,POLICE,80016
AMBULANCE COMMANDER,FIRE,128970
POLICE OFFICER,POLICE,93354
LIEUTENANT-EMT,FIRE,114324
WATER CHEMIST II,WATER MGMNT,84516
HEAD LIBRARY CLERK,PUBLIC LIBRARY,70092
ASST SUPVSR OF DATA ENTRY OPERATORS,PUBLIC LIBRARY,57840
SERGEANT,POLICE,111474
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,87006
PARAMEDIC,FIRE,76266
POLICE OFFICER,POLICE,93354
BATTALION CHIEF - EMT,FIRE,149502
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,90024
COMMUNICATIONS OPERATOR I - 311,OEMC,63876
FIREFIGHTER-EMT,FIRE,95484
AVIATION SECURITY OFFICER,AVIATION,64392
POLICE OFFICER,POLICE,76266
COMMUNICATIONS OPERATOR II - 311,OEMC,60972
SENIOR LIBRARY CLERK,PUBLIC LIBRARY,58248
INQUIRY AIDE III,STREETS & SAN,55536
FIREFIGHTER-EMT,FIRE,99324
DATA SERVICES ADMINISTRATOR,DoIT,93300
POLICE OFFICER,POLICE,48078
WARD SUPERINTENDENT,STREETS & SAN,93300
PSYCHOLOGIST,HEALTH,110064
POLICE OFFICER,POLICE,96060
BATTALION CHIEF - EMT,FIRE,149502
POLICE OFFICER,POLICE,93354
LINEMAN - SALARIED,OEMC,101712
POLICE OFFICER,POLICE,87006
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
SERGEANT,POLICE,104628
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,68616
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,87006
ADMINISTRATIVE ASST III,BUILDINGS,73440
LIEUTENANT-EMT,FIRE,117996
POLICE OFFICER,POLICE,87006
LEGISLATIVE AIDE,CITY COUNCIL,39132
POLICE OFFICER,POLICE,84054
PARAMEDIC I/C,FIRE,91080
REPROGRAPHICS TECHNICIAN II,GENERAL SERVICES,33552
ASST COMPTROLLER,FINANCE,99648
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,90024
WARD SUPERINTENDENT,STREETS & SAN,80376
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,91080
FIREFIGHTER-EMT,FIRE,89148
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,107988
SERGEANT,POLICE,107988
FIREFIGHTER-EMT,FIRE,84870
FIREFIGHTER-EMT,FIRE,84870
FIRE ENGINEER-EMT,FIRE,99846
POLICE OFFICER,POLICE,93354
AVIATION COMMUNICATIONS OPERATOR,OEMC,70644
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,93354
ADMINISTRATIVE ASST II,ADMIN HEARNG,53076
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,93354
WARD SUPERINTENDENT,STREETS & SAN,88188
AVIATION SECURITY OFFICER,AVIATION,85056
FIREFIGHTER-EMT,FIRE,89148
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,98052
POLICE OFFICER,POLICE,87006
ANIMAL CONTROL OFFICER,ANIMAL CONTRL,45924
SERGEANT,POLICE,101442
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,87006
FIREFIGHTER-EMT,FIRE,92274
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,87006
PARAMEDIC I/C,FIRE,82614
BUSINESS CONSULTANT,BUSINESS AFFAIRS,54636
PRINTER,GENERAL SERVICES,80568
PROGRAMMER/ANALYST PER AGRMNT,DoIT,92388
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,87006
PROPERTY CUSTODIAN,POLICE,70092
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,84054
SERGEANT,POLICE,107988
LIEUTENANT-PARAMEDIC,FIRE,124728
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,49428
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
EPIDEMIOLOGIST II,HEALTH,100776
POLICE OFFICER,POLICE,48078
LIEUTENANT,FIRE,114846
POLICE OFFICER,POLICE,90024
DETENTION AIDE,POLICE,58644
SERGEANT,POLICE,107988
POLICE OFFICER,POLICE,48078
SR PROCUREMENT SPECIALIST,PROCUREMENT,76716
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
FIREFIGHTER,FIRE,97386
POLICE OFFICER,POLICE,90024
PARAMEDIC,FIRE,87006
FIREFIGHTER-EMT,FIRE,84870
POLICE ADMINISTRATIVE CLERK,POLICE,40392
POLICE OFFICER,POLICE,48078
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
PARAMEDIC I/C,FIRE,82614
FIREFIGHTER/PARAMEDIC,FIRE,78738
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
ADMINISTRATIVE ASST II,BUSINESS AFFAIRS,58248
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,84054
DIR OF ADMINISTRATIVE SERVICES,AVIATION,99648
POLICE OFFICER / FLD TRNG OFFICER,POLICE,98052
FIREFIGHTER-EMT,FIRE,95484
FIREFIGHTER,FIRE,93666
SENIOR EMERGENCY MANAGEMENT COORD,OEMC,111492
ADMINISTRATIVE ASST III - EXCLUDED,STREETS & SAN,63468
POLICE OFFICER,POLICE,48078
SERGEANT,POLICE,101442
LIEUTENANT-EMT,FIRE,114324
PARAMEDIC I/C,FIRE,91080
POLICE OFFICER,POLICE,48078
LIBRARIAN IV,PUBLIC LIBRARY,83688
POLICE OFFICER,POLICE,84054
SERGEANT,POLICE,111474
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,76266
FIREFIGHTER-EMT (RECRUIT),FIRE,72510
POLICE ADMINISTRATIVE CLERK,POLICE,40392
LIEUTENANT,POLICE,123894
POLICE OFFICER,POLICE,87006
FIREFIGHTER/PARAMEDIC,FIRE,97746
POLICE OFFICER,POLICE,68616
SERGEANT,POLICE,104628
SERGEANT,POLICE,107988
SERGEANT,POLICE,111474
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
FIREFIGHTER-EMT,FIRE,92274
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,111474
AVIATION SECURITY OFFICER,AVIATION,73992
POLICE OFFICER,POLICE,90024
FIREFIGHTER,FIRE,93666
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,84054
LIBRARY CLERK,PUBLIC LIBRARY,50628
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
FIREFIGHTER,FIRE,93666
POLICE OFFICER,POLICE,96060
FIREFIGHTER-EMT (RECRUIT),FIRE,68616
POLICE OFFICER,POLICE,48078
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
POLICE OFFICER,POLICE,68616
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,80016
SERGEANT,POLICE,104628
FIREFIGHTER,FIRE,97386
RECRUITER,HUMAN RESOURCES,110064
SERGEANT,POLICE,107988
SENIOR DATA ENTRY OPERATOR,POLICE,60972
SERGEANT,POLICE,101442
FIREFIGHTER-EMT,FIRE,89148
POLICE OFFICER,POLICE,93354
SERGEANT,POLICE,111474
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,84054
FIREFIGHTER-EMT,FIRE,92274
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,87006
POLICE OFFICER / FLD TRNG OFFICER,POLICE,94524
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,90024
AMBULANCE COMMANDER,FIRE,121452
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,93354
POLICE ADMINISTRATIVE CLERK,POLICE,40392
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
POLICE COMMUNICATIONS OPERATOR I,OEMC,50412
POLICE OFFICER,POLICE,93354
PROCESS SERVER,LAW,43644
PARKING INVESTIGATOR,FINANCE,73944
POLICE OFFICER,POLICE,96060
FIREFIGHTER-EMT,FIRE,89148
FIRE ENGINEER,FIRE,100980
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,96060
FIREFIGHTER-EMT,FIRE,95484
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,90024
AUDITOR III,HEALTH,100776
POLICE OFFICER,POLICE,93354
DIR OF FACILITIES MANAGEMENT,GENERAL SERVICES,114552
POLICE OFFICER,POLICE,96060
FIREFIGHTER-EMT (RECRUIT),FIRE,68616
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,91080
FIRE ENGINEER-EMT,FIRE,103350
SUPVSR OF CHILDREN SERVICES PROGRAMS,FAMILY & SUPPORT,65820
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,84054
FIRE ENGINEER-EMT,FIRE,110214
POLICE OFFICER,POLICE,87006
POLICE COMMUNICATIONS OPERATOR I,OEMC,50412
PROCUREMENT SPECIALIST,PROCUREMENT,61032
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,111474
PERFORMANCE ANALYST,INSPECTOR GEN,65496
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,93354
SR LITIGATION COUNSEL - COPA,COPA,94824
EDITORIAL ASST,CITY CLERK,76932
SERGEANT,POLICE,101442
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,104628
POLICE COMMUNICATIONS OPERATOR II,OEMC,81156
FIREFIGHTER,FIRE,90024
LIEUTENANT,POLICE,127692
LIEUTENANT,FIRE,111252
COORDINATING PLANNER,COMMUNITY DEVELOPMENT,92028
POLICE OFFICER,POLICE,90024
FIREFIGHTER-EMT,FIRE,95484
POLICE OFFICER,POLICE,76266
LIEUTENANT,POLICE,127692
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,90024
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),POLICE,100980
POLICE OFFICER,POLICE,96060
FIRE ENGINEER-EMT,FIRE,107106
POLICE ADMINISTRATIVE CLERK,POLICE,40392
PROJECT MANAGER - DOIT,DoIT,98664
SUPVSR OF ANIMAL CONTROL OFFICERS,ANIMAL CONTRL,77520
PAYMENT SERVICES REPRESENTATIVE,FINANCE,63876
POLICE OFFICER,POLICE,93354
LIEUTENANT,FIRE,114846
POLICE OFFICER,POLICE,84054
SOCIAL WORKER III,HEALTH,92388
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,90024
FIREFIGHTER/PARAMEDIC,FIRE,94476
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
SERGEANT,POLICE,104628
LIBRARY CLERK,PUBLIC LIBRARY,53076
LIEUTENANT-EMT,FIRE,114324
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,87006
STAFF ASST,LAW,76932
FIRE ENGINEER-EMT,FIRE,110214
SANITATION CLERK,STREETS & SAN,63828
POLICE OFFICER,POLICE,48078
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,94122
PARAMEDIC I/C,FIRE,82614
AVIATION SECURITY OFFICER,AVIATION,55260
POLICE OFFICER,POLICE,87006
CHIEF CONTRACT EXPEDITER,TRANSPORTN,106452
ACCOUNTING TECHNICIAN II,FINANCE,63876
POLICE OFFICER,POLICE,76266
FIREFIGHTER-EMT (RECRUIT),FIRE,68616
POLICE COMMUNICATIONS OPERATOR I,OEMC,50412
POLICE OFFICER,POLICE,48078
PUBLIC HEALTH NURSE II,HEALTH,107340
DEPUTY COMMISSIONER,STREETS & SAN,119196
ADMINISTRATIVE ASST II,FINANCE,70092
POLICE OFFICER,POLICE,87006
FIREFIGHTER,FIRE,90024
POLICE OFFICER,POLICE,84054
LIEUTENANT,POLICE,127692
PARAMEDIC I/C,FIRE,94122
CAPTAIN-EMT,FIRE,136794
INVESTIGATOR-COPA,COPA,68796
POLICE OFFICER,POLICE,72510
LIEUTENANT-EMT,FIRE,114324
POLICE OFFICER,POLICE,90024
BATTALION CHIEF-PARAMEDIC,FIRE,153078
AVIATION SECURITY OFFICER,AVIATION,64392
AVIATION SECURITY OFFICER,AVIATION,73992
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
CLERK III,POLICE,50628
LIBRARIAN III,PUBLIC LIBRARY,92388
FIELD SUPVSR I - PARKING ENFORCEMENT,FINANCE,67464
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,90024
LIEUTENANT-EMT,FIRE,114324
DIR OF SECURITY,GENERAL SERVICES,102672
POLICE OFFICER,POLICE,96060
SUPVSR OF PAYMENT CENTER,FINANCE,57252
HELP DESK SUPERVISOR - EXCLUDED,PUBLIC LIBRARY,93300
HEAD LIBRARY CLERK,PUBLIC LIBRARY,70092
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
LIBRARIAN I,PUBLIC LIBRARY,53940
POLICE OFFICER,POLICE,93354
ATTORNEY,COPA,73944
CLERK III,POLICE,55536
SENIOR DATA ENTRY OPERATOR,TRANSPORTN,63876
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
ADMINISTRATIVE SERVICES OFFICER II,AVIATION,101592
HEAD LIBRARY CLERK,PUBLIC LIBRARY,70092
POLICE OFFICER,POLICE,90024
COORD OF HUMAN RELATIONS,FIRE,126564
DETENTION AIDE,POLICE,67464
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
LIEUTENANT-EMT,FIRE,114324
AMBULANCE COMMANDER,FIRE,121452
PARAMEDIC,FIRE,56304
POLICE OFFICER,POLICE,80016
REFUSE COLLECTION COORD,STREETS & SAN,92556
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
FIREFIGHTER-EMT,FIRE,92274
HEAD LIBRARY CLERK,PUBLIC LIBRARY,60972
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,76266
CLERK CITY COUNCIL,CITY COUNCIL,23424
POLICE OFFICER,POLICE,96060
CIVIL ENGINEER IV,BUILDINGS,110064
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,80016
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE OFFICER,POLICE,68616
ASST TO THE COMMISSIONER,BUSINESS AFFAIRS,85008
POLICE OFFICER,POLICE,90024
DEPUTY COMMISSIONER,STREETS & SAN,127824
POLICE OFFICER,POLICE,90024
DIR / COMMUNITY LIAISON,FAMILY & SUPPORT,62004
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,90024
FIREFIGHTER-EMT,FIRE,89148
POLICE OFFICER,POLICE,48078
PARAMEDIC I/C,FIRE,94122
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
LIEUTENANT,POLICE,120252
CAPTAIN,FIRE,128970
PARAMEDIC,FIRE,76266
CAPTAIN-EMT,FIRE,136794
PARAMEDIC,FIRE,90024
FIREFIGHTER-EMT (RECRUIT),FIRE,72510
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,68616
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,93354
POLICE OFFICER / FLD TRNG OFFICER,POLICE,91338
ACCIDENT ADJUSTER,GENERAL SERVICES,88344
POLICE OFFICER,POLICE,90024
FIREFIGHTER,FIRE,93666
FINGERPRINT TECHNICIAN II,POLICE,70092
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,68616
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,72510
ASST TO THE ALDERMAN,CITY COUNCIL,65712
BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,106416
POLICE OFFICER,POLICE,87006
PARKING ENFORCEMENT AIDE,FINANCE,58644
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,68616
CLERK IV,TRANSPORTN,60972
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
FIREFIGHTER-EMT,FIRE,95484
POLICY ANALYST,HEALTH,68736
ASST COMMISSIONER,FIRE,100656
FIREFIGHTER-EMT,FIRE,89148
LEGISLATIVE AIDE,CITY COUNCIL,34248
DEPUTY CHIEF ADMINISTRATIVE OFFICER,CITY COUNCIL,152472
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,90024
PARAMEDIC I/C,FIRE,100980
POLICE OFFICER,POLICE,93354
LIEUTENANT-EMT,FIRE,117996
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,76266
ELECTRICAL INSPECTOR,BUILDINGS,100164
ELECTRICAL MECHANIC - SALARIED,OEMC,95888.04
FIREFIGHTER-EMT,FIRE,92274
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,87006
SERVICE WRITER,GENERAL SERVICES,54972
LIEUTENANT-EMT,FIRE,114324
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
DISTRICT CHIEF,FIRE,170112
FIRE ENGINEER-EMT,FIRE,103350
CLERK III,STREETS & SAN,58248
SPECIAL EVENTS COORD II,CULTURAL AFFAIRS,70620
FIRE ENGINEER,FIRE,100980
AVIATION SECURITY OFFICER,AVIATION,70644
COORD OF SPECIAL PROJECTS,AVIATION,89076
PARAMEDIC,FIRE,56304
ASST CORPORATION COUNSEL III,LAW,65928
LIEUTENANT,FIRE,114846
POLICE OFFICER,POLICE,80016
LIEUTENANT-EMT,FIRE,117996
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,72510
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
MANAGING DEPUTY COMMISSIONER,HEALTH,127824
SANITARY ENGINEER II,WATER MGMNT,60312
PARKING ENFORCEMENT AIDE,FINANCE,41832
LIEUTENANT-EMT,FIRE,121818
POLICE OFFICER,POLICE,90024
FOREMAN OF LINEMEN,OEMC,112112.04
LIBRARY ASSOCIATE,PUBLIC LIBRARY,69492
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
LEGISLATIVE AIDE,CITY COUNCIL,45000
POLICE OFFICER,POLICE,48078
POLICE OFFICER / FLD TRNG OFFICER,POLICE,91338
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,48078
AVIATION COMMUNICATIONS OPERATOR,OEMC,70644
POLICE OFFICER / FLD TRNG OFFICER,POLICE,88296
POLICE OFFICER,POLICE,68616
BATTALION CHIEF - EMT,FIRE,149502
LICENSING ENFORCEMENT AIDE - CITY CLERK,CITY CLERK,41640
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,42408
CLERK IV,COMMUNITY DEVELOPMENT,70092
POLICE OFFICER,POLICE,84054
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,93354
SERGEANT,POLICE,104628
FIRE COMMUNICATIONS OPERATOR II,OEMC,95712
SERGEANT,POLICE,104628
POLICE OFFICER / FLD TRNG OFFICER,POLICE,88296
FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,100692
POLICE OFFICER,POLICE,76266
DEPUTY COMMISSIONER,FAMILY & SUPPORT,113412
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,91080
LIEUTENANT-EMT,FIRE,121818
LIEUTENANT,FIRE,111252
LIEUTENANT-EMT,FIRE,121818
ALDERMAN,CITY COUNCIL,117832.92
ACCOUNTANT IV,AVIATION,100776
LIEUTENANT-EMT,FIRE,121818
