Job.Titles,Department,Annual.Salary
POLICE OFFICER,POLICE,90024
DEPUTY COMMISSIONER,BUSINESS AFFAIRS,122592
LEGISLATIVE AIDE,CITY COUNCIL,19968
FREEDOM OF INFORMATION ACT OFFICER,POLICE,50676
ACCOUNTANT IV,FINANCE,100776
ENVIRONMENTAL ENGINEER III,HEALTH,110064
CIVIL ENGINEER III,TRANSPORTN,100776
PUBLIC HEALTH ADMINISTRATOR I,HEALTH,73440
ASST CORPORATION COUNSEL I,LAW,62940
POLICE COMMUNICATIONS OPERATOR I,OEMC,81156
POLICE OFFICER,POLICE,96060
FIRE COMMUNICATIONS OPERATOR II,OEMC,95712
LIBRARIAN I,PUBLIC LIBRARY,49704
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,91338
ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,73440
POLICE OFFICER,POLICE,96060
FIRE ENGINEER-EMT,FIRE,103350
SERGEANT,POLICE,111474
ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,122280
POLICE OFFICER,POLICE,93354
CHIEF ENGINEER OF SEWERS,WATER MGMNT,125316
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,96060
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
FIREFIGHTER (PER ARBITRATORS AWARD),FIRE,100980
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,94524
BRIDGE OPERATOR,TRANSPORTN,60972
SERGEANT,POLICE,111474
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,84054
FIREFIGHTER-EMT,FIRE,84870
FIREFIGHTER-EMT,FIRE,92274
DEPUTY COMMISSIONER,COMMUNITY DEVELOPMENT,120312
ANIMAL CARE AIDE I,ANIMAL CONTRL,70092
COORD OF SPECIAL PROJECTS,HEALTH,93300
SANITATION CLERK,STREETS & SAN,70056
PARAMEDIC I/C,FIRE,91080
EDITORIAL ASST,CITY CLERK,66948
SERGEANT,POLICE,104628
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,53028
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,87006
ANIMAL CONTROL OFFICER,ANIMAL CONTRL,70644
POLICE OFFICER,POLICE,76266
STREET LIGHT REPAIR WORKER,TRANSPORTN,101712
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,80016
POLICE OFFICER / FLD TRNG OFFICER,POLICE,88296
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,84054
ADMINISTRATIVE SERVICES OFFICER II,TRANSPORTN,106452
POLICE OFFICER,POLICE,84054
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,100980
POLICE OFFICER / FLD TRNG OFFICER,POLICE,91338
SERGEANT,POLICE,101442
LOAD DISPATCHER,TRANSPORTN,101712
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,48078
PROGRAMMER/ANALYST,BUSINESS AFFAIRS,92388
LIBRARIAN I,PUBLIC LIBRARY,76548
POLICE OFFICER,POLICE,93354
FIRE ENGINEER-EMT,FIRE,103350
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,72510
FIREFIGHTER-EMT,FIRE,84870
LIEUTENANT-EMT,FIRE,114324
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,72510
CHIEF PROGRAMMER/ANALYST,WATER MGMNT,124428
PARKING ENFORCEMENT AIDE,FINANCE,58644
POLICE OFFICER,POLICE,72510
CHIEF VOUCHER EXPEDITER,TRANSPORTN,54636
DEPUTY COMMISSIONER,AVIATION,122820
CRIMINAL HISTORY ANALYST,POLICE,88344
SENIOR RESEARCH ANALYST,COMMUNITY DEVELOPMENT,84516
DATA ENTRY OPERATOR,TRANSPORTN,50628
FIELD SERVICE SPECIALIST II,TRANSPORTN,63180
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
CAPTAIN-EMT,FIRE,136794
PERSONAL COMPUTER OPERATOR I,POLICE,53076
PUBLIC HEALTH NURSE IV,HEALTH,107280
POLICE OFFICER,POLICE,90024
PROJECTS ADMINISTRATOR,FINANCE,92040
POLICE OFFICER,POLICE,80016
LIBRARIAN I,PUBLIC LIBRARY,53940
POLICE OFFICER,POLICE,48078
PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION,67872
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,100980
FIREFIGHTER-EMT,FIRE,95484
POLICE OFFICER,POLICE,68616
POLICE OFFICER,POLICE,93354
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,94122
WATER CHEMIST II,WATER MGMNT,54768
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,87006
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,91338
SANITATION CLERK,STREETS & SAN,41628
POLICE COMMUNICATIONS OPERATOR I,OEMC,73992
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,93354
ACCOUNTANT II,FINANCE,84516
